ASTM|22.0,17.2,17.6,17.7,15.6|23.7,25.5,26.2,26.9,25.9
ASTRAL|7.7,6.4,4.6,4.6,1.7|20.7,21.0,23.6,24.1,28.6
AIDL|43.4,39.0,44.3,0,0|34.8,36.5,32.4,-27.4,-3.7
ATLT|3.7,-21.4,0,3.6,5.1|31.9,-16.2,35.6,-18.3,12.7
ATCY|38.9,41.3,52.8,0,0|36.9,29.8,21.8,32.4,32.3
ATAO|24.8,23.4,25.4,27.6,13.5|32.5,33.1,30.4,30.3,32.4
ATUL|14.7,14.9,10.1,10.5,11.0|26.8,32.2,28.6,30.5,32.8
APSL|6.7,3.7,4.6,5.9,-4.1|15.7,4.6,-8.8,-22.9,-2.0
AUBD|-23.6,14.9,7.5,8.3,7.4|-82.1,22.1,23.7,27.5,27.3
ASEG|13.9,13.2,16.5,14.8,17.0|27.8,30.1,25.1,21.4,31.6
AUCG|38.8,51.3,55.1,63.1,58.2|32.5,33.1,34.3,35.4,35.0
AUTOL|13.4,12.3,11.2,0,0|20.6,28.2,-100.5,-5.4,-1.6
AUAX|33.6,23.8,20.8,14.3,23.9|32.4,31.6,29.7,36.0,32.5
AVFD|18.5,19.6,19.3,21.5,4.0|29.5,31.0,33.7,35.2,33.3
UTIB|15.7,16.1,74.5,14.6,14.3|0,0,0,0,0
BAJAU|42.8,41.6,42.8,47.8,42.1|24.3,28.5,29.9,28.7,32.7
BAJCL|33.3,49.1,57.7,64.4,98.2|16.9,20.6,20.3,17.8,17.4
BJEL|23.7,39.0,-282.6,-108.3,29.6|33.0,40.2,11.0,33.0,37.7
BJFN|14.8,12.2,12.6,11.2,10.1|33.2,32.5,32.2,34.1,33.8
BAFIN|1.6,1.5,1.8,1.6,1.5|15.1,18.2,24.5,25.9,27.1
BJHN|42.7,-2.0,0,0,0|36.5,23.0,-1.5,-0.1,0
BALAJI|6.4,17.9,-15.2,69.6,325.4|6.8,20.4,-53.5,33.7,85.5
BLKH|5.4,4.1,4.1,4.9,9.2|32.8,34.5,32.8,33.8,32.8
BILT|18.5,26.6,25.3,26.3,-61.4|1.3,7.1,-21.2,-108.7,25.9
BALW|33.2,31.0,17.3,33.0,33.7|31.7,26.8,26.9,29.9,30.3
CHINI|0,30.3,0,0,0|75.0,23.1,51.7,24.1,2.0
BPRD|32.7,23.4,21.0,15.9,24.5|23.0,25.1,25.7,26.2,22.3
BOB|13.3,18.9,18.5,18.2,0|0,0,0,0,0
BOI|14.7,21.1,10.8,16.5,-14.8|0,0,0,0,0
BKMAH|29.7,19.8,21.1,18.3,0|0,0,0,0,0
BAAN|21.6,10.8,10.0,49.8,277.7|5.6,6.0,18.3,10.8,-202.9
BASX|14.9,15.7,14.8,18.3,18.0|33.4,25.5,13.9,42.8,45.1
BART|3.2,3.1,0,0,0|29.8,-9.9,-6.2,37.2,13.1
BASF|10.2,29.4,17.2,15.2,13.5|35.8,23.5,32.6,30.8,32.5
BATA|14.9,22.4,21.9,18.1,10.3|38.5,31.9,33.7,32.8,35.7
BTBL|0,0,0,0,0|-51.2,208.2,-14.0,-45.6,14.1
BAYR|11.9,1.7,7.0,20.1,20.0|24.7,103.3,34.3,33.2,35.0
BEML|28.3,36.6,-12.5,68.2,70.1|22.1,25.3,30.8,-24.2,215.0
BRGR|26.9,28.5,30.6,32.1,12.2|29.2,29.1,28.7,34.5,34.1
BFUL|0,0,0,0,0|-4.2,-2.7,-3.7,-1.2,0.9
BGRE|22.3,22.5,31.2,22.5,0|32.8,31.7,33.8,47.9,60.4
BYNG|13.5,544.6,77.3,60.5,88.2|25.2,52.5,9.3,1.3,-9.7
BHBJ|19.2,26.3,-29.1,0,0|32.1,30.9,40.7,15.9,0
BHEC|19.7,19.7,19.6,19.6,15.5|26.1,23.6,20.5,21.1,20.9
BFRG|22.5,32.0,21.0,22.9,26.9|30.0,36.7,33.4,33.2,34.2
BSHIP|6.7,10.3,0,0,0|34.2,42.1,74.3,8.9,22.8
BTVL|8.9,16.7,26.0,17.1,9.9|34.7,52.6,61.6,50.4,49.2
BHIL|0,103.6,54.8,61.8,23.9|33.6,34.6,34.7,34.7,34.2
BHEL|22.1,19.8,19.8,19.5,-10.9|31.6,29.9,31.0,33.5,38.1
BHSN|1.1,1.0,1.2,19.2,0|26.9,25.2,25.2,36.4,0.1
BIIN|4.8,4.8,3.4,0,0|28.0,25.0,25.7,24.7,-22.7
BINA|-18.4,-5.3,-4.3,-1.3,-1.4|28.9,-7.0,-19.1,14.9,3.9
BICN|29.6,29.5,24.2,20.1,11.2|13.8,23.9,19.9,18.4,39.4
BCORP|19.3,19.9,35.6,26.4,29.4|33.0,24.1,17.6,22.0,13.5
BERC|0,0,0,0,15.6|0,0,0.6,0,18.0
BLKS|4.2,-18.6,12.2,0,0|35.3,18.3,33.8,93.2,25.6
BLDE|3.8,87.2,96.8,36.7,0|31.7,30.4,34.4,34.5,34.4
BSTAR|-8.6,69.1,46.4,83.0,54.0|-1.1,6.3,2.9,-9.4,20.8
BDYN|66.4,34.8,27.3,67.9,67.3|18.9,20.7,22.6,26.6,29.7
BRFL|10.4,9.5,0,0,0|24.0,14.0,32.5,45.9,62.8
MICO|37.8,19.7,19.5,19.9,21.4|28.7,28.8,29.6,31.6,33.0
BPCL|50.9,42.3,31.4,33.8,28.1|43.7,41.2,34.9,33.9,32.8
BRGD|28.4,14.0,29.6,27.5,25.5|0.9,25.9,15.4,-12.0,28.6
BRIT|50.9,39.2,36.4,27.9,29.8|25.6,27.6,30.5,32.5,32.4
BSEL|0,0,0,0,0|-8.0,0.9,-300.0,-1.6,-13.8
CCON|15.2,10.3,15.0,0,0|32.3,38.6,68.0,-6.2,-15.2
CADIL|23.5,23.5,22.9,21.4,21.5|14.2,14.5,13.8,18.1,26.9
