ASTM|12.8,19.4,18.5,21.1,21.5|0,0.1,0.1,0.1,0.1
ASTRAL|22.2,21.5,25.1,25.0,12.3|0.2,0.4,0.3,0.3,0.2
AIDL|39.9,35.7,10.4,-89.8,-0.3|0,0,0,0,0
ATLT|14.1,-2.5,-0.7,8.3,6.7|1.2,1.1,0.6,0.9,0.9
ATCY|3.0,2.8,2.2,-8.7,-19.5|0,0,0.1,0.1,0
ATAO|23.4,27.8,34.9,31.5,33.5|0.1,0,0,0,0
ATUL|13.9,15.9,23.1,23.2,21.1|0.2,0.2,0.1,0.1,0
APSL|13.9,11.0,9.7,10.0,-29.7|0.2,0.2,0,0,0.1
AUBD|-5.3,11.3,31.3,30.6,28.1|0.4,0.4,0.3,0.3,0.1
ASEG|13.8,13.0,5.9,6.3,5.3|0,0,0,0,0
AUCG|18.9,15.7,9.5,10.2,8.7|0,0,0,0,0
AUTOL|11.1,14.9,3.9,-14.1,-28.8|0.5,0.4,0.3,0.2,0.7
AUAX|23.6,16.6,4.5,6.2,3.5|0.1,0.1,0.1,0,0
AVFD|29.6,24.0,39.2,43.7,41.0|0.2,0.1,0.1,0,0
UTIB|18.6,15.8,16.4,16.6,15.6|0,0,0,0,0
BAJAU|50.1,38.8,33.2,27.3,29.0|0,0,0,0,0
BAJCL|22.3,28.1,34.4,28.7,35.3|0,0,0,0,0
BJEL|16.8,7.0,-0.7,-2.0,12.7|0.1,0,0.2,0.2,0.1
BJFN|18.2,20.0,17.6,18.0,18.7|2.1,3.2,2.2,2.6,3.8
BAFIN|26.2,20.2,16.6,15.4,13.9|1.3,0.9,1.1,1.6,1.8
BJHN|1.3,0.7,-8.0,-68.6,-78.4|1.9,1.3,0.4,1.1,4.7
BALAJI|5.2,3.6,-4.5,1.5,0.5|0,0,0,0,0
BLKH|24.2,24.2,25.0,20.8,20.7|0.8,1.1,0.9,0.6,0.3
BILT|8.0,3.1,2.1,1.4,-0.7|1.0,0.6,0.9,1.0,1.0
BALW|19.6,19.4,19.2,15.9,14.6|0.2,0.2,0.1,0.1,0.1
CHINI|12.6,0,12.3,0.7,-5.1|0.1,0.4,0.2,0.4,0.4
BPRD|18.6,18.1,13.0,15.3,14.1|0,0.2,0.1,0,0
BOB|18.4,14.4,13.2,9.3,-11.9|0,0,0,0,0
BOI|12.7,11.5,9.7,6.2,-8.6|0,0,0,0,0
BKMAH|10.5,13.2,5.8,5.7,1.3|0,0,0,0,0
BAAN|7.3,13.0,15.1,3.0,0.1|0.1,0.1,0,0.3,0.3
